app_id,tag
526870,Sandbox
526870,Exploration
526870,Adventure
526870,Early Access
526870,Open World Survival Craft
526870,Simulation
526870,Survival
526870,Strategy
526870,First Person
526870,Sci fi
526870,Singleplayer
526870,Indie
8930,Strategy
8930,Turn Based
8930,Multiplayer
8930,Historical
8930,4X
8930,Addictive
8930,Singleplayer
8930,Grand Strategy
8930,Replay Value
8930,Co op
8930,Tactical
8930,Economy
8930,Moddable
8930,Simulation
8930,Classic
8930,Great Soundtrack
588650,Adventure
588650,Action Roguelike
588650,Pixel Graphics
588650,Metroidvania
588650,2D
588650,Souls like
588650,Roguelike
588650,Replay Value
588650,Hack and Slash
588650,Roguelite
588650,Platformer
588650,Singleplayer
588650,Action
588650,Difficult
588650,Atmospheric
588650,Dark Fantasy
